"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Domains","Search non-registered domain","","0","0","1","0","0"
"Domains","Hosted zone search","","0","0","1","0","0"
"Registration","","","0","0","4","0","0"
"Non_authorized_user","","","0","0","8","0","0"
"Domains","","","0","0","11","0","0"
"Domains","Search registered domain","","0","0","1","0","0"
"Authorization","","","0","0","2","0","0"
"Unauthorized_user","","","0","0","2","0","0"
"My profile","","","0","0","2","0","0"
"","","","0","0","0","2","0"
"My profile","Currency selection","","0","0","1","0","0"
